,0~3 days,4~6 days,7~13 days,14~20 days,21~27 days,28~90 days,91+ days
Hokkaido,3.3,57.2,28.6,6.6,2.5,1.7,0.1
Aomori,1.1,29.6,39.6,18.1,6.0,5.5,0.2
Iwate,0.5,49.8,30.6,11.6,3.8,3.8,0.0
Miyagi,1.9,42.9,35.7,10.3,4.4,4.8,0.1
Akita,0.5,39.0,37.6,13.4,5.2,4.3,0.0
Yamagata,0.2,49.8,36.0,8.2,2.8,2.3,0.6
Fukushima,0.0,39.9,35.2,13.8,6.0,4.7,0.5
Ibaraki,0.7,41.5,40.6,10.9,3.3,2.2,0.8
Tochigi,0.3,21.6,38.3,24.6,10.0,5.0,0.3
Gunma,0.2,27.8,38.0,19.1,6.5,8.1,0.2
Saitama,2.6,37.3,42.9,12.1,2.1,2.9,0.1
Chiba,3.7,39.7,39.9,12.4,2.8,1.6,0.0
Tokyo,3.3,34.2,42.2,15.2,3.4,1.8,0.0
Kanagawa,1.6,27.0,42.2,20.9,5.8,2.6,0.0
Niigata,0.6,24.2,47.3,13.6,9.4,4.4,0.5
Toyama,0.3,53.8,31.3,8.6,3.1,2.9,0.1
Ishikawa,0.3,25.2,25.4,32.6,11.6,4.9,0.0
Fukui,0.4,28.8,27.5,21.8,11.8,9.2,0.6
Yamanashi,0.4,36.4,44.7,12.8,3.8,1.8,0.0
Nagano,0.3,28.7,35.4,21.5,8.5,5.5,0.0
Gifu,0.9,38.4,30.8,19.3,7.1,3.4,0.0
Shizuoka,1.6,36.9,40.9,13.7,3.9,2.9,0.1
Aichi,4.0,43.4,37.3,8.6,3.6,3.0,0.1
Mie,1.6,49.1,36.1,6.4,3.5,3.1,0.2
Shiga,0.3,42.3,37.9,12.6,4.6,2.3,0.0
Kyoto,2.4,33.6,41.0,17.3,3.9,1.9,0.0
Osaka,5.5,40.4,36.6,12.9,3.0,1.5,0.0
Hyogo,4.0,35.9,38.2,13.8,5.0,3.1,0.1
Nara,1.8,28.5,40.8,21.0,5.3,2.6,0.0
Wakayama,0.5,26.8,34.6,22.7,8.6,6.7,0.1
Tottori,10.0,23.8,44.6,8.2,6.1,7.3,0.0
Shimane,2.8,15.3,56.4,7.9,8.9,8.6,0.0
Okayama,2.0,26.5,39.4,17.3,8.9,5.9,0.1
Hiroshima,1.5,7.2,29.9,40.7,14.1,6.6,0.1
Yamaguchi,32.7,32.8,22.5,5.2,3.0,3.8,0.0
Tokushima,0.9,29.9,41.4,13.5,6.7,7.0,0.7
Kagawa,7.9,41.0,27.0,10.9,6.9,6.2,0.1
Ehime,0.4,25.5,41.3,11.3,13.2,8.4,0.0
Kochi,0.0,20.8,43.8,19.0,9.0,7.4,0.0
Fukuoka,25.6,50.8,17.0,3.6,1.7,1.2,0.0
Saga,12.9,51.4,30.6,3.4,0.9,0.7,0.2
Nagasaki,4.4,30.6,39.0,14.3,5.5,6.1,0.1
Kumamoto,7.2,44.6,36.1,6.6,2.7,2.9,0.1
Oita,16.8,58.2,20.3,2.5,1.1,1.1,0.0
Miyazaki,5.4,32.3,39.9,11.3,3.6,7.4,0.1
Kagoshima,1.9,33.9,37.0,13.8,5.7,7.7,0.0
Okinawa,8.2,71.8,12.8,4.2,1.6,1.4,0.1
Hokkaido Region,3.3,57.2,28.6,6.6,2.5,1.7,0.1
Tohoku Region,1.9,37.2,36.2,13.8,5.6,5.0,0.4
Kanto Region,3.5,34.7,41.8,14.9,3.3,1.8,0.1
Hokuriku-Shin'etsu Region,0.4,27.5,34.6,24.2,8.7,4.5,0.1
Chubu Region,2.7,37.9,36.8,14.2,5.1,3.1,0.1
Kinki Region,5.2,38.2,37.8,14.0,3.2,1.6,0.0
Chugoku Region,5.4,13.4,30.1,33.4,11.8,5.8,0.1
Shikoku Region,6.4,35.1,29.2,14.1,8.4,6.6,0.3
Kyushu Region,24.8,50.0,17.2,4.3,2.0,1.6,0.0
Okinawa Region,8.2,71.8,12.8,4.2,1.6,1.4,0.1