Area of Visit,Port of Departure,Percentage
Tottori,Izuhara Port,0
Tottori,Miyazaki,0
Tottori,Kagoshima,0
Tottori,Naha,0
Tottori,Other,0
Shimane,New Chitose,0
Shimane,Hakodate,0
Shimane,Aomori,0
Shimane,Sendai,0
Shimane,Ibaraki,0
Shimane,Haneda,9.3595
Shimane,Narita,15.1791
Shimane,Komatsu,0
Shimane,Toyama,0
Shimane,Mt.Fuji Shizuoka,0
Shimane,Chubu,0
Shimane,Kansai,35.8289
Shimane,Yonago,12.9501
Shimane,Okayama,10.5679
Shimane,Hiroshima,5.5307
Shimane,Sakai Port,0.1187
Shimane,Kanmon (Shimonoseki) Port,0
Shimane,Takamatsu,2.8837
Shimane,Fukuoka,7.5814
Shimane,Hakata Port,0
Shimane,Saga,0
Shimane,Izuhara Port,0
Shimane,Miyazaki,0
Shimane,Kagoshima,0
Shimane,Naha,0
Shimane,Other,0
Okayama,New Chitose,0.4133
Okayama,Hakodate,0
Okayama,Aomori,0
Okayama,Sendai,0
Okayama,Ibaraki,0
Okayama,Haneda,12.3909
Okayama,Narita,15.8393
Okayama,Komatsu,0
Okayama,Toyama,0
Okayama,Mt.Fuji Shizuoka,0.5075
Okayama,Chubu,0.1676
Okayama,Kansai,31.0616
Okayama,Yonago,0.1141
Okayama,Okayama,22.4709
Okayama,Hiroshima,2.0894
Okayama,Sakai Port,0
Okayama,Kanmon (Shimonoseki) Port,0.1557
Okayama,Takamatsu,9.1703
Okayama,Fukuoka,5.5448
Okayama,Hakata Port,0.0744
Okayama,Saga,0
Okayama,Izuhara Port,0
Okayama,Miyazaki,0
Okayama,Kagoshima,0
Okayama,Naha,0
Okayama,Other,0
Hiroshima,New Chitose,0.2828
Hiroshima,Hakodate,0
Hiroshima,Aomori,0
Hiroshima,Sendai,0
Hiroshima,Ibaraki,0
Hiroshima,Haneda,31.9577
Hiroshima,Narita,33.7135
Hiroshima,Komatsu,0.012
Hiroshima,Toyama,0
Hiroshima,Mt.Fuji Shizuoka,0
Hiroshima,Chubu,0.2716
Hiroshima,Kansai,21.3566
Hiroshima,Yonago,0.0281
Hiroshima,Okayama,1.3149
Hiroshima,Hiroshima,5.3812
Hiroshima,Sakai Port,0
Hiroshima,Kanmon (Shimonoseki) Port,0.0726
Hiroshima,Takamatsu,0.8088
Hiroshima,Fukuoka,4.6642
Hiroshima,Hakata Port,0.0863
Hiroshima,Saga,0
Hiroshima,Izuhara Port,0
Hiroshima,Miyazaki,0
Hiroshima,Kagoshima,0.0193
Hiroshima,Naha,0.0303
Hiroshima,Other,0
Yamaguchi,New Chitose,0
Yamaguchi,Hakodate,0
Yamaguchi,Aomori,0
Yamaguchi,Sendai,0
Yamaguchi,Ibaraki,0
Yamaguchi,Haneda,6.0642
Yamaguchi,Narita,5.827
Yamaguchi,Komatsu,0
Yamaguchi,Toyama,0
Yamaguchi,Mt.Fuji Shizuoka,0
Yamaguchi,Chubu,0
Yamaguchi,Kansai,2.2598
Yamaguchi,Yonago,0
Yamaguchi,Okayama,0.3701
Yamaguchi,Hiroshima,2.2242
Yamaguchi,Sakai Port,0.0315
Yamaguchi,Kanmon (Shimonoseki) Port,35.5794
Yamaguchi,Takamatsu,0
Yamaguchi,Fukuoka,46.2348
Yamaguchi,Hakata Port,1.4091
Yamaguchi,Saga,0
Yamaguchi,Izuhara Port,0
Yamaguchi,Miyazaki,0
Yamaguchi,Kagoshima,0
Yamaguchi,Naha,0
Yamaguchi,Other,0
Tokushima,New Chitose,0
Tokushima,Hakodate,0
Tokushima,Aomori,0
Tokushima,Sendai,0
Tokushima,Ibaraki,0
Tokushima,Haneda,6.2936
Tokushima,Narita,10.4306
Tokushima,Komatsu,0
Tokushima,Toyama,0
Tokushima,Mt.Fuji Shizuoka,0
Tokushima,Chubu,0.126
Tokushima,Kansai,29.3912
Tokushima,Yonago,0
Tokushima,Okayama,3.501
Tokushima,Hiroshima,0.8147
Tokushima,Sakai Port,0
Tokushima,Kanmon (Shimonoseki) Port,0
Tokushima,Takamatsu,47.4782
Tokushima,Fukuoka,1.9648
Tokushima,Hakata Port,0
Tokushima,Saga,0
Tokushima,Izuhara Port,0
Tokushima,Miyazaki,0
Tokushima,Kagoshima,0
Tokushima,Naha,0
Tokushima,Other,0
Kagawa,New Chitose,0.3324
Kagawa,Hakodate,0
Kagawa,Aomori,0
Kagawa,Sendai,0
Kagawa,Ibaraki,0
Kagawa,Haneda,9.0283
Kagawa,Narita,11.1495
Kagawa,Komatsu,0
Kagawa,Toyama,0
Kagawa,Mt.Fuji Shizuoka,0
Kagawa,Chubu,0.0505
Kagawa,Kansai,15.8283
Kagawa,Yonago,0.0581
Kagawa,Okayama,5.1381
Kagawa,Hiroshima,0.6327
Kagawa,Sakai Port,0
Kagawa,Kanmon (Shimonoseki) Port,0
Kagawa,Takamatsu,55.7334
Kagawa,Fukuoka,1.9039
Kagawa,Hakata Port,0.1448
Kagawa,Saga,0
Kagawa,Izuhara Port,0
Kagawa,Miyazaki,0
Kagawa,Kagoshima,0
Kagawa,Naha,0
Kagawa,Other,0
Ehime,New Chitose,0
Ehime,Hakodate,0
Ehime,Aomori,0
Ehime,Sendai,0
Ehime,Ibaraki,0
Ehime,Haneda,13.4984
Ehime,Narita,15.1609
Ehime,Komatsu,0
Ehime,Toyama,0
Ehime,Mt.Fuji Shizuoka,0
Ehime,Chubu,0.5496
Ehime,Kansai,20.5696
Ehime,Yonago,0
Ehime,Okayama,6.5914
Ehime,Hiroshima,2.564
Ehime,Sakai Port,0
Ehime,Kanmon (Shimonoseki) Port,0
Ehime,Takamatsu,37.0901
Ehime,Fukuoka,3.6835
Ehime,Hakata Port,0.2925
Ehime,Saga,0
Ehime,Izuhara Port,0
Ehime,Miyazaki,0
Ehime,Kagoshima,0
Ehime,Naha,0
Ehime,Other,0
Kochi,New Chitose,0
Kochi,Hakodate,0
Kochi,Aomori,0
Kochi,Sendai,0
Kochi,Ibaraki,0
Kochi,Haneda,15.485
Kochi,Narita,20.0481
Kochi,Komatsu,0
Kochi,Toyama,0
Kochi,Mt.Fuji Shizuoka,0
Kochi,Chubu,0.0472
Kochi,Kansai,14.985
Kochi,Yonago,0
Kochi,Okayama,4.104
Kochi,Hiroshima,1.2737
Kochi,Sakai Port,0
Kochi,Kanmon (Shimonoseki) Port,0
Kochi,Takamatsu,42.9751
Kochi,Fukuoka,1.0818
Kochi,Hakata Port,0
Kochi,Saga,0
Kochi,Izuhara Port,0
Kochi,Miyazaki,0
Kochi,Kagoshima,0
Kochi,Naha,0
Kochi,Other,0
Fukuoka,New Chitose,0.2687
Fukuoka,Hakodate,0
Fukuoka,Aomori,0
Fukuoka,Sendai,0
Fukuoka,Ibaraki,0.0013
Fukuoka,Haneda,2.2816
Fukuoka,Narita,3.1549
Fukuoka,Komatsu,0.0041
Fukuoka,Toyama,0
Fukuoka,Mt.Fuji Shizuoka,0
Fukuoka,Chubu,0.0848
Fukuoka,Kansai,1.5401
Fukuoka,Yonago,0
Fukuoka,Okayama,0.0787
Fukuoka,Hiroshima,0.1254
Fukuoka,Sakai Port,0.0014
Fukuoka,Kanmon (Shimonoseki) Port,1.2508
Fukuoka,Takamatsu,0.0284
Fukuoka,Fukuoka,88.0143
Fukuoka,Hakata Port,2.1579
Fukuoka,Saga,0.77
Fukuoka,Izuhara Port,0
Fukuoka,Miyazaki,0.0212
Fukuoka,Kagoshima,0.1402
Fukuoka,Naha,0.0761
Fukuoka,Other,0
Saga,New Chitose,0.2905
Saga,Hakodate,0
Saga,Aomori,0
Saga,Sendai,0
Saga,Ibaraki,0
Saga,Haneda,1.0699
Saga,Narita,1.4984
Saga,Komatsu,0
Saga,Toyama,0
Saga,Mt.Fuji Shizuoka,0
Saga,Chubu,0
Saga,Kansai,0.3593
Saga,Yonago,0
Saga,Okayama,0
Saga,Hiroshima,0
Saga,Sakai Port,0
Saga,Kanmon (Shimonoseki) Port,0
Saga,Takamatsu,0
Saga,Fukuoka,68.7909
Saga,Hakata Port,0.7761
Saga,Saga,27.0862
Saga,Izuhara Port,0
Saga,Miyazaki,0
Saga,Kagoshima,0.1286
Saga,Naha,0
Saga,Other,0
Nagasaki,New Chitose,0.0693
Nagasaki,Hakodate,0
Nagasaki,Aomori,0
Nagasaki,Sendai,0
Nagasaki,Ibaraki,0
Nagasaki,Haneda,11.7476
Nagasaki,Narita,11.6141
Nagasaki,Komatsu,0
Nagasaki,Toyama,0
Nagasaki,Mt.Fuji Shizuoka,0.0052
Nagasaki,Chubu,0.0534
Nagasaki,Kansai,3.0716
Nagasaki,Yonago,0
Nagasaki,Okayama,0.1953
Nagasaki,Hiroshima,0.0733
Nagasaki,Sakai Port,0
Nagasaki,Kanmon (Shimonoseki) Port,0.2841
Nagasaki,Takamatsu,0
Nagasaki,Fukuoka,66.9088
Nagasaki,Hakata Port,0.9313
Nagasaki,Saga,1.9591
Nagasaki,Izuhara Port,3.0037
Nagasaki,Miyazaki,0
Nagasaki,Kagoshima,0.0833
Nagasaki,Naha,0
Nagasaki,Other,0
Kumamoto,New Chitose,0.1826
Kumamoto,Hakodate,0
Kumamoto,Aomori,0
Kumamoto,Sendai,0
Kumamoto,Ibaraki,0.0066
Kumamoto,Haneda,4.4173
Kumamoto,Narita,4.2879
Kumamoto,Komatsu,0
Kumamoto,Toyama,0
Kumamoto,Mt.Fuji Shizuoka,0
Kumamoto,Chubu,0.0758
Kumamoto,Kansai,1.8285
Kumamoto,Yonago,0
Kumamoto,Okayama,0.0886
Kumamoto,Hiroshima,0.0604
Kumamoto,Sakai Port,0
Kumamoto,Kanmon (Shimonoseki) Port,0.2513
Kumamoto,Takamatsu,0
Kumamoto,Fukuoka,84.4355
Kumamoto,Hakata Port,0.7416
Kumamoto,Saga,2.1928
Kumamoto,Izuhara Port,0
Kumamoto,Miyazaki,0.1351
Kumamoto,Kagoshima,1.1356
Kumamoto,Naha,0.1606
Kumamoto,Other,0
Oita,New Chitose,0.0565
Oita,Hakodate,0
Oita,Aomori,0
Oita,Sendai,0
Oita,Ibaraki,0
Oita,Haneda,1.3566
Oita,Narita,1.8583
Oita,Komatsu,0
Oita,Toyama,0
Oita,Mt.Fuji Shizuoka,0
Oita,Chubu,0.0069
Oita,Kansai,0.8585
Oita,Yonago,0
Oita,Okayama,0.0249
Oita,Hiroshima,0.0472
Oita,Sakai Port,0
Oita,Kanmon (Shimonoseki) Port,0.3311
Oita,Takamatsu,0
Oita,Fukuoka,91.9338
Oita,Hakata Port,1.9303
Oita,Saga,1.3645
Oita,Izuhara Port,0
Oita,Miyazaki,0
Oita,Kagoshima,0.1457
Oita,Naha,0.0855
Oita,Other,0
Miyazaki,New Chitose,0
Miyazaki,Hakodate,0
Miyazaki,Aomori,0
Miyazaki,Sendai,0
Miyazaki,Ibaraki,0
Miyazaki,Haneda,8.2318
Miyazaki,Narita,6.6226
Miyazaki,Komatsu,0
Miyazaki,Toyama,0
Miyazaki,Mt.Fuji Shizuoka,0
Miyazaki,Chubu,0.2342
Miyazaki,Kansai,2.5548
Miyazaki,Yonago,0
Miyazaki,Okayama,0.3038
Miyazaki,Hiroshima,0
Miyazaki,Sakai Port,0
Miyazaki,Kanmon (Shimonoseki) Port,0.4227
Miyazaki,Takamatsu,0
Miyazaki,Fukuoka,58.5858
Miyazaki,Hakata Port,1.0221
Miyazaki,Saga,1.406
Miyazaki,Izuhara Port,0
Miyazaki,Miyazaki,14.0492
Miyazaki,Kagoshima,6.5669
Miyazaki,Naha,0
Miyazaki,Other,0
Kagoshima,New Chitose,0
Kagoshima,Hakodate,0
Kagoshima,Aomori,0
Kagoshima,Sendai,0
Kagoshima,Ibaraki,0
Kagoshima,Haneda,11.9031
Kagoshima,Narita,12.0759
Kagoshima,Komatsu,0
Kagoshima,Toyama,0
Kagoshima,Mt.Fuji Shizuoka,0
Kagoshima,Chubu,0.227
Kagoshima,Kansai,3.3264
Kagoshima,Yonago,0
Kagoshima,Okayama,0.1754
Kagoshima,Hiroshima,0.0443
Kagoshima,Sakai Port,0
Kagoshima,Kanmon (Shimonoseki) Port,0.2179
Kagoshima,Takamatsu,0
Kagoshima,Fukuoka,38.3322
Kagoshima,Hakata Port,0.2405
Kagoshima,Saga,1.1098
Kagoshima,Izuhara Port,0
Kagoshima,Miyazaki,1.7636
Kagoshima,Kagoshima,29.8132
Kagoshima,Naha,0.7706
Kagoshima,Other,0
Okinawa,New Chitose,0.0665
Okinawa,Hakodate,0
Okinawa,Aomori,0
Okinawa,Sendai,0
Okinawa,Ibaraki,0
Okinawa,Haneda,3.4747
Okinawa,Narita,3.8473
Okinawa,Komatsu,0
Okinawa,Toyama,0
Okinawa,Mt.Fuji Shizuoka,0
Okinawa,Chubu,0.0427
Okinawa,Kansai,1.9582
Okinawa,Yonago,0
Okinawa,Okayama,0
Okinawa,Hiroshima,0.0097
Okinawa,Sakai Port,0
Okinawa,Kanmon (Shimonoseki) Port,0
Okinawa,Takamatsu,0
Okinawa,Fukuoka,0.5415
Okinawa,Hakata Port,0
Okinawa,Saga,0.0131
Okinawa,Izuhara Port,0
Okinawa,Miyazaki,0
Okinawa,Kagoshima,0
Okinawa,Naha,90.0463
Okinawa,Other,0
Hokkaido Region,New Chitose,74.7068
Hokkaido Region,Hakodate,3.6174
Hokkaido Region,Aomori,0.0097
Hokkaido Region,Sendai,0.2571
Hokkaido Region,Ibaraki,0.0128
Hokkaido Region,Haneda,7.8511
Hokkaido Region,Narita,10.3402
Hokkaido Region,Komatsu,0
Hokkaido Region,Toyama,0
Hokkaido Region,Mt.Fuji Shizuoka,0.007
Hokkaido Region,Chubu,0.5049
Hokkaido Region,Kansai,2.2821
Hokkaido Region,Yonago,0
Hokkaido Region,Okayama,0.0212
Hokkaido Region,Hiroshima,0.0172
Hokkaido Region,Sakai Port,0
Hokkaido Region,Kanmon (Shimonoseki) Port,0
Hokkaido Region,Takamatsu,0.0095
Hokkaido Region,Fukuoka,0.3332
Hokkaido Region,Hakata Port,0.0104
Hokkaido Region,Saga,0
Hokkaido Region,Izuhara Port,0
Hokkaido Region,Miyazaki,0
Hokkaido Region,Kagoshima,0
Hokkaido Region,Naha,0.0194
Hokkaido Region,Other,0
Tohoku Region,New Chitose,2.8905
Tohoku Region,Hakodate,0.1342
Tohoku Region,Aomori,1.6528
Tohoku Region,Sendai,29.851
Tohoku Region,Ibaraki,0.7485
Tohoku Region,Haneda,20.4325
Tohoku Region,Narita,40.8453
Tohoku Region,Komatsu,0.0546
Tohoku Region,Toyama,0.0106
Tohoku Region,Mt.Fuji Shizuoka,0.0286
Tohoku Region,Chubu,0.5748
Tohoku Region,Kansai,2.1058
Tohoku Region,Yonago,0
Tohoku Region,Okayama,0.0495
Tohoku Region,Hiroshima,0.0309
Tohoku Region,Sakai Port,0
Tohoku Region,Kanmon (Shimonoseki) Port,0
Tohoku Region,Takamatsu,0.0387
Tohoku Region,Fukuoka,0.4668
Tohoku Region,Hakata Port,0.0849
Tohoku Region,Saga,0
Tohoku Region,Izuhara Port,0
Tohoku Region,Miyazaki,0
Tohoku Region,Kagoshima,0
Tohoku Region,Naha,0
Tohoku Region,Other,0
Kanto Region,New Chitose,0.343
Kanto Region,Hakodate,0.0046
Kanto Region,Aomori,0.0024
Kanto Region,Sendai,0.0668
Kanto Region,Ibaraki,0.1252
Kanto Region,Haneda,27.9479
Kanto Region,Narita,58.4644
Kanto Region,Komatsu,0.0129
Kanto Region,Toyama,0.0197
Kanto Region,Mt.Fuji Shizuoka,0.1698
Kanto Region,Chubu,0.9587
Kanto Region,Kansai,11.4461
Kanto Region,Yonago,0
Kanto Region,Okayama,0.012
Kanto Region,Hiroshima,0.0197
Kanto Region,Sakai Port,0
Kanto Region,Kanmon (Shimonoseki) Port,0.0027
Kanto Region,Takamatsu,0.0128
Kanto Region,Fukuoka,0.3245
Kanto Region,Hakata Port,0.0078
Kanto Region,Saga,0
Kanto Region,Izuhara Port,0
Kanto Region,Miyazaki,0
Kanto Region,Kagoshima,0.0031
Kanto Region,Naha,0.0556
Kanto Region,Other,0
Hokuriku-Shin'etsu Region,New Chitose,0.1298
Hokuriku-Shin'etsu Region,Hakodate,0
Hokuriku-Shin'etsu Region,Aomori,0
Hokuriku-Shin'etsu Region,Sendai,0.3921
Hokuriku-Shin'etsu Region,Ibaraki,0.033
Hokuriku-Shin'etsu Region,Haneda,25.0964
Hokuriku-Shin'etsu Region,Narita,41.3108
Hokuriku-Shin'etsu Region,Komatsu,3.8968
Hokuriku-Shin'etsu Region,Toyama,0.3886
Hokuriku-Shin'etsu Region,Mt.Fuji Shizuoka,0.0527
Hokuriku-Shin'etsu Region,Chubu,16.9227
Hokuriku-Shin'etsu Region,Kansai,11.2424
Hokuriku-Shin'etsu Region,Yonago,0
Hokuriku-Shin'etsu Region,Okayama,0.0646
Hokuriku-Shin'etsu Region,Hiroshima,0.0186
Hokuriku-Shin'etsu Region,Sakai Port,0
Hokuriku-Shin'etsu Region,Kanmon (Shimonoseki) Port,0
Hokuriku-Shin'etsu Region,Takamatsu,0
Hokuriku-Shin'etsu Region,Fukuoka,0.4256
Hokuriku-Shin'etsu Region,Hakata Port,0
Hokuriku-Shin'etsu Region,Saga,0
Hokuriku-Shin'etsu Region,Izuhara Port,0
Hokuriku-Shin'etsu Region,Miyazaki,0
Hokuriku-Shin'etsu Region,Kagoshima,0
Hokuriku-Shin'etsu Region,Naha,0.0257
Hokuriku-Shin'etsu Region,Other,0
Chubu Region,New Chitose,0.1648
Chubu Region,Hakodate,0
Chubu Region,Aomori,0
Chubu Region,Sendai,0
Chubu Region,Ibaraki,0.0088
Chubu Region,Haneda,16.2908
Chubu Region,Narita,29.8194
Chubu Region,Komatsu,1.7669
Chubu Region,Toyama,0.0793
Chubu Region,Mt.Fuji Shizuoka,1.5657
Chubu Region,Chubu,31.5414
Chubu Region,Kansai,18.3409
Chubu Region,Yonago,0
Chubu Region,Okayama,0.0373
Chubu Region,Hiroshima,0.0172
Chubu Region,Sakai Port,0
Chubu Region,Kanmon (Shimonoseki) Port,0
Chubu Region,Takamatsu,0.0127
Chubu Region,Fukuoka,0.3083
Chubu Region,Hakata Port,0.014
Chubu Region,Saga,0
Chubu Region,Izuhara Port,0
Chubu Region,Miyazaki,0
Chubu Region,Kagoshima,0
Chubu Region,Naha,0.0325
Chubu Region,Other,0
Kinki Region,New Chitose,0.1995
Kinki Region,Hakodate,0
Kinki Region,Aomori,0
Kinki Region,Sendai,0.0078
Kinki Region,Ibaraki,0
Kinki Region,Haneda,13.659
Kinki Region,Narita,18.724
Kinki Region,Komatsu,0.0282
Kinki Region,Toyama,0.0213
Kinki Region,Mt.Fuji Shizuoka,0.0392
Kinki Region,Chubu,1.5362
Kinki Region,Kansai,65.017
Kinki Region,Yonago,0.0037
Kinki Region,Okayama,0.1472
Kinki Region,Hiroshima,0.0365
Kinki Region,Sakai Port,0.0004
Kinki Region,Kanmon (Shimonoseki) Port,0.0059
Kinki Region,Takamatsu,0.0966
Kinki Region,Fukuoka,0.4095
Kinki Region,Hakata Port,0.0032
Kinki Region,Saga,0.0013
Kinki Region,Izuhara Port,0
Kinki Region,Miyazaki,0
Kinki Region,Kagoshima,0.0039
Kinki Region,Naha,0.0596
Kinki Region,Other,0
Chugoku Region,New Chitose,0.2327
Chugoku Region,Hakodate,0
Chugoku Region,Aomori,0
Chugoku Region,Sendai,0
Chugoku Region,Ibaraki,0
Chugoku Region,Haneda,26.1004
Chugoku Region,Narita,27.9482
Chugoku Region,Komatsu,0.0092
Chugoku Region,Toyama,0
Chugoku Region,Mt.Fuji Shizuoka,0.0963
Chugoku Region,Chubu,0.2412
Chugoku Region,Kansai,21.7859
Chugoku Region,Yonago,1.0463
Chugoku Region,Okayama,4.2637
Chugoku Region,Hiroshima,4.1481
Chugoku Region,Sakai Port,0.0245
Chugoku Region,Kanmon (Shimonoseki) Port,3.6969
Chugoku Region,Takamatsu,2.0568
Chugoku Region,Fukuoka,8.1009
Chugoku Region,Hakata Port,0.1988
Chugoku Region,Saga,0.0118
Chugoku Region,Izuhara Port,0
Chugoku Region,Miyazaki,0
Chugoku Region,Kagoshima,0.0149
Chugoku Region,Naha,0.0234
Chugoku Region,Other,0
Shikoku Region,New Chitose,0.2693
Shikoku Region,Hakodate,0
Shikoku Region,Aomori,0
Shikoku Region,Sendai,0
Shikoku Region,Ibaraki,0
Shikoku Region,Haneda,12.6948
Shikoku Region,Narita,14.9608
Shikoku Region,Komatsu,0
Shikoku Region,Toyama,0
Shikoku Region,Mt.Fuji Shizuoka,0
Shikoku Region,Chubu,0.2468
Shikoku Region,Kansai,18.0153
Shikoku Region,Yonago,0.0471
Shikoku Region,Okayama,4.7322
Shikoku Region,Hiroshima,1.0833
Shikoku Region,Sakai Port,0
Shikoku Region,Kanmon (Shimonoseki) Port,0
Shikoku Region,Takamatsu,45.1527
Shikoku Region,Fukuoka,2.5847
Shikoku Region,Hakata Port,0.2129
Shikoku Region,Saga,0
Shikoku Region,Izuhara Port,0
Shikoku Region,Miyazaki,0
Shikoku Region,Kagoshima,0
Shikoku Region,Naha,0
Shikoku Region,Other,0
Kyushu Region,New Chitose,0.2736
Kyushu Region,Hakodate,0
Kyushu Region,Aomori,0
Kyushu Region,Sendai,0
Kyushu Region,Ibaraki,0.0012
Kyushu Region,Haneda,3.1583
Kyushu Region,Narita,4.0573
Kyushu Region,Komatsu,0.0039
Kyushu Region,Toyama,0
Kyushu Region,Mt.Fuji Shizuoka,0.0004
Kyushu Region,Chubu,0.0973
Kyushu Region,Kansai,1.7568
Kyushu Region,Yonago,0
Kyushu Region,Okayama,0.0747
Kyushu Region,Hiroshima,0.1191
Kyushu Region,Sakai Port,0.0013
Kyushu Region,Kanmon (Shimonoseki) Port,1.2448
Kyushu Region,Takamatsu,0.0269
Kyushu Region,Fukuoka,83.5306
Kyushu Region,Hakata Port,2.048
Kyushu Region,Saga,1.3631
Kyushu Region,Izuhara Port,0.2433
Kyushu Region,Miyazaki,0.4039
Kyushu Region,Kagoshima,1.4849
Kyushu Region,Naha,0.1106
Kyushu Region,Other,0
Okinawa Region,New Chitose,0.0665
Okinawa Region,Hakodate,0
Okinawa Region,Aomori,0
Okinawa Region,Sendai,0
Okinawa Region,Ibaraki,0
Okinawa Region,Haneda,3.4747
Okinawa Region,Narita,3.8473
Okinawa Region,Komatsu,0
Okinawa Region,Toyama,0
Okinawa Region,Mt.Fuji Shizuoka,0
Okinawa Region,Chubu,0.0427
Okinawa Region,Kansai,1.9582
Okinawa Region,Yonago,0
Okinawa Region,Okayama,0
Okinawa Region,Hiroshima,0.0097
Okinawa Region,Sakai Port,0
Okinawa Region,Kanmon (Shimonoseki) Port,0
Okinawa Region,Takamatsu,0
Okinawa Region,Fukuoka,0.5415
Okinawa Region,Hakata Port,0
Okinawa Region,Saga,0.0131
Okinawa Region,Izuhara Port,0
Okinawa Region,Miyazaki,0
Okinawa Region,Kagoshima,0
Okinawa Region,Naha,90.0463
Okinawa Region,Other,0