,Airplane (within Japan),Shinkansen,Railway/monorail,Chartered buses,Long-distance buses,Suburban buses,Taxies/limousine hires,Car rental,Bicycle rental,Ships (within Japan),Other,Only by walking
Hokkaido,16.1,11.5,56.7,35.1,10.1,18.8,17.6,15.4,1.3,2.0,1.0,0.0
Aomori,10.2,56.8,67.9,26.0,9.0,28.9,25.5,18.2,2.9,18.7,2.2,0.0
Iwate,2.5,41.5,50.6,45.8,6.9,18.0,12.0,17.9,2.9,17.7,2.4,0.0
Miyagi,6.5,48.7,66.9,28.1,9.1,26.1,18.6,15.7,2.0,11.4,1.8,0.0
Akita,8.3,45.4,57.1,36.4,9.2,21.4,17.5,22.0,3.1,17.8,2.6,0.0
Yamagata,6.4,33.3,52.9,40.4,9.1,20.5,17.0,19.5,1.4,11.7,1.2,0.0
Fukushima,3.0,44.3,59.4,37.9,11.5,22.7,19.7,19.5,4.2,7.8,1.5,0.0
Ibaraki,2.4,19.4,64.2,26.8,10.6,20.9,17.0,19.7,1.7,0.9,3.9,0.0
Tochigi,4.1,52.0,83.2,16.2,12.0,38.4,29.6,12.8,4.6,5.8,2.0,0.0
Gunma,4.4,48.7,76.7,18.8,18.5,27.5,26.6,19.6,2.5,2.3,3.5,0.0
Saitama,4.0,22.5,88.8,9.1,9.7,24.8,17.7,6.1,1.4,2.4,3.6,0.0
Chiba,4.1,34.5,88.2,11.5,10.2,21.7,23.8,4.4,1.6,2.0,1.2,0.0
Tokyo,4.8,40.7,90.4,9.7,10.0,23.8,28.6,4.3,1.7,2.4,1.1,0.0
Kanagawa,3.3,41.9,90.4,11.2,11.7,30.6,29.5,5.3,2.5,5.3,1.6,0.0
Niigata,4.1,69.8,88.9,9.5,11.6,28.0,26.9,14.1,3.8,4.8,2.3,0.0
Toyama,3.2,25.8,38.9,55.7,10.9,15.5,10.2,10.9,1.6,1.9,1.1,0.0
Ishikawa,5.0,63.0,71.5,30.2,16.8,37.0,29.4,8.8,3.8,7.8,0.8,0.0
Fukui,4.4,50.7,66.4,22.0,20.3,31.7,22.3,24.1,7.6,7.0,2.3,0.0
Yamanashi,3.0,34.3,73.3,29.2,20.2,21.9,23.8,9.4,2.9,2.2,1.2,0.0
Nagano,4.3,54.3,73.9,25.1,17.6,28.0,25.2,14.7,3.5,3.9,1.4,0.0
Gifu,3.3,39.6,65.0,33.8,21.8,25.9,20.6,13.8,2.1,4.6,0.9,0.0
Shizuoka,2.4,37.0,68.9,30.5,13.6,23.8,24.5,10.8,1.5,3.8,2.2,0.1
Aichi,3.6,33.0,66.4,31.4,13.8,19.1,18.1,8.9,1.5,2.2,1.5,0.0
Mie,1.4,21.0,61.0,29.3,18.1,19.8,19.7,17.3,1.9,3.8,1.8,0.0
Shiga,1.1,26.4,76.7,18.9,5.4,32.7,22.3,15.3,2.6,3.1,1.4,0.0
Kyoto,3.5,45.2,88.4,13.7,8.4,36.7,30.3,3.2,1.9,3.1,0.7,0.0
Osaka,3.7,36.2,88.5,12.3,7.9,30.1,26.7,3.2,1.5,2.6,0.7,0.0
Hyogo,3.6,31.9,81.1,18.3,10.8,34.4,23.6,5.7,2.2,6.4,1.0,0.0
Nara,3.9,48.0,81.9,21.9,8.5,37.0,28.3,3.4,2.4,4.0,0.8,0.0
Wakayama,4.4,43.2,85.3,14.5,10.6,41.5,27.4,11.4,4.5,7.5,1.3,0.0
Tottori,8.6,36.2,67.6,17.3,9.8,28.9,22.7,24.7,5.6,12.1,0.8,0.0
Shimane,10.2,47.9,64.4,21.5,11.4,35.1,21.3,19.9,2.2,17.3,1.8,0.0
Okayama,6.6,58.9,79.6,14.8,13.4,39.0,21.7,14.0,5.7,20.9,1.8,0.0
Hiroshima,8.2,85.0,91.6,10.3,13.1,46.2,38.6,6.3,5.4,23.4,1.3,0.0
Yamaguchi,5.5,34.1,70.2,10.8,12.9,44.7,23.3,13.3,2.6,22.3,3.3,1.5
Tokushima,6.6,24.1,54.1,22.7,22.8,21.4,15.1,38.1,5.1,28.1,0.9,0.0
Kagawa,5.5,30.9,61.6,12.6,34.3,30.9,21.7,20.5,13.8,40.3,1.1,0.2
Ehime,9.6,37.0,64.0,21.7,20.7,25.1,22.5,30.8,11.7,30.9,1.3,0.0
Kochi,7.6,25.6,53.3,26.7,17.7,20.7,20.9,36.3,5.4,28.4,2.8,0.0
Fukuoka,3.7,19.7,67.6,14.2,13.7,42.4,39.5,12.7,2.0,4.0,0.9,0.3
Saga,2.7,23.8,47.5,24.1,13.6,30.1,27.6,29.8,2.6,3.3,2.6,0.2
Nagasaki,10.9,48.4,65.5,14.3,17.1,38.2,30.8,21.1,3.1,14.4,2.8,0.4
Kumamoto,5.9,37.9,50.9,26.3,11.0,30.6,24.5,28.9,1.8,6.3,2.0,0.1
Oita,1.9,16.5,55.9,30.8,23.9,36.5,36.1,20.8,1.5,3.3,0.8,0.0
Miyazaki,10.3,32.3,47.3,20.3,12.0,26.5,26.1,42.0,1.0,12.1,3.4,0.8
Kagoshima,13.0,43.1,55.3,18.0,10.1,33.9,28.6,31.1,3.2,22.2,4.1,0.2
Okinawa,9.4,5.3,36.2,15.5,6.8,17.9,26.4,51.8,1.2,3.6,0.5,0.0
Hokkaido Region,16.1,11.5,56.7,35.1,10.1,18.8,17.6,15.4,1.3,2.0,1.0,0.0
Tohoku Region,7.9,51.1,70.3,24.4,10.0,27.2,23.2,15.4,2.5,12.4,2.1,0.0
Kanto Region,4.9,40.0,89.1,10.6,10.0,23.5,28.1,4.5,1.7,2.4,1.2,0.0
Hokuriku-Shin'etsu Region,4.6,57.9,74.2,24.8,16.4,30.3,26.8,12.1,3.3,5.1,1.3,0.0
Chubu Region,3.5,39.5,70.1,29.4,14.5,23.7,22.4,9.9,1.9,3.7,1.6,0.0
Kinki Region,3.8,39.4,88.9,11.9,8.1,30.5,27.9,3.3,1.6,2.8,0.7,0.0
Chugoku Region,7.4,74.3,87.5,10.8,13.1,44.7,34.8,8.3,4.9,22.3,1.6,0.2
Shikoku Region,7.4,34.7,64.1,14.4,29.9,30.0,23.8,20.1,13.4,37.4,1.6,0.2
Kyushu Region,4.3,20.4,66.6,14.6,13.6,41.8,39.1,13.2,2.0,4.7,1.2,0.3
Okinawa Region,9.4,5.3,36.2,15.5,6.8,17.9,26.4,51.8,1.2,3.6,0.5,0.0