,Group tour,Package for individual travelers,Independent travel
Hokkaido,27.0,4.7,68.3
Aomori,27.4,4.7,67.9
Iwate,48.0,3.0,49.1
Miyagi,28.9,2.4,68.7
Akita,39.0,5.3,55.8
Yamagata,41.2,3.3,55.6
Fukushima,39.6,3.4,57.0
Ibaraki,26.0,2.1,71.9
Tochigi,15.8,5.1,79.0
Gunma,18.1,4.3,77.6
Saitama,8.3,2.2,89.5
Chiba,11.6,3.7,84.7
Tokyo,9.7,3.5,86.8
Kanagawa,11.3,3.9,84.7
Niigata,8.3,4.2,87.5
Toyama,56.1,1.1,42.8
Ishikawa,30.5,5.0,64.5
Fukui,25.8,3.0,71.2
Yamanashi,28.2,3.3,68.5
Nagano,22.8,4.1,73.1
Gifu,33.4,5.4,61.2
Shizuoka,31.0,3.5,65.4
Aichi,31.0,2.6,66.4
Mie,29.6,3.1,67.3
Shiga,18.5,1.5,79.9
Kyoto,13.5,3.2,83.2
Osaka,12.3,3.0,84.7
Hyogo,18.0,3.0,79.0
Nara,21.5,3.2,75.3
Wakayama,14.8,3.9,81.3
Tottori,14.8,2.2,83.0
Shimane,23.0,2.7,74.3
Okayama,13.7,3.2,83.1
Hiroshima,11.2,4.8,84.0
Yamaguchi,8.2,2.8,89.0
Tokushima,20.7,1.3,78.0
Kagawa,12.9,4.8,82.2
Ehime,22.0,1.8,76.2
Kochi,27.8,5.0,67.2
Fukuoka,8.6,2.7,88.7
Saga,23.0,5.1,71.9
Nagasaki,15.2,3.2,81.6
Kumamoto,24.0,4.0,72.0
Oita,16.1,4.0,79.8
Miyazaki,18.6,4.8,76.6
Kagoshima,14.6,9.5,75.9
Okinawa,14.2,5.9,79.8
Hokkaido Region,27.0,4.7,68.3
Tohoku Region,25.7,3.7,70.6
Kanto Region,10.6,3.5,85.9
Hokuriku-Shin'etsu Region,24.2,4.2,71.6
Chubu Region,29.4,3.7,66.9
Kinki Region,11.9,3.0,85.1
Chugoku Region,11.1,4.4,84.5
Shikoku Region,14.7,5.2,80.1
Kyushu Region,9.0,3.2,87.8
Okinawa Region,14.2,5.9,79.8