,Solo,Spouse/partner,Family member(s),Work colleague(s),Friend(s),Other
Hokkaido,12.6,23.5,36.9,2.5,23.6,0.9
Aomori,14.6,28.1,32.8,2.1,20.2,2.3
Iwate,13.4,31.7,37.8,2.2,14.1,0.7
Miyagi,19.6,24.5,32.8,2.6,18.7,1.7
Akita,15.2,32.6,28.0,3.7,18.6,1.7
Yamagata,10.6,26.6,36.5,2.3,22.4,1.6
Fukushima,16.6,23.0,32.4,3.7,21.1,3.2
Ibaraki,24.3,18.1,26.8,4.8,23.5,2.6
Tochigi,22.0,24.7,24.9,2.3,23.6,2.4
Gunma,23.3,21.9,24.0,1.0,27.6,2.2
Saitama,33.3,17.6,24.1,2.6,21.6,0.9
Chiba,20.5,18.8,29.7,1.6,28.2,1.2
Tokyo,21.8,20.9,27.9,1.6,26.7,1.2
Kanagawa,22.6,23.5,26.9,1.5,24.3,1.2
Niigata,19.7,20.1,27.5,2.0,28.9,1.8
Toyama,8.5,19.9,41.3,3.6,24.2,2.4
Ishikawa,13.3,33.7,31.6,1.8,18.2,1.5
Fukui,18.2,30.0,34.4,1.6,14.5,1.3
Yamanashi,13.9,21.9,33.6,2.6,26.3,1.6
Nagano,14.4,25.6,31.3,2.3,24.4,2.0
Gifu,9.8,25.1,37.2,2.2,23.8,1.8
Shizuoka,16.1,22.9,32.9,2.6,23.8,1.6
Aichi,15.2,15.1,38.0,2.7,27.7,1.2
Mie,14.1,16.6,43.4,3.7,21.3,0.9
Shiga,20.3,19.9,34.1,4.2,18.8,2.6
Kyoto,15.2,24.1,31.3,1.8,26.3,1.4
Osaka,16.1,21.7,31.4,1.9,27.6,1.2
Hyogo,18.1,22.8,32.3,2.4,23.0,1.3
Nara,15.5,24.7,33.2,1.8,23.3,1.5
Wakayama,21.4,26.4,28.7,1.6,20.3,1.6
Tottori,20.3,27.2,30.7,1.7,19.6,0.5
Shimane,26.5,29.7,29.0,0.0,13.5,1.3
Okayama,22.4,25.7,31.6,1.7,17.1,1.7
Hiroshima,23.8,32.2,22.3,0.6,19.6,1.6
Yamaguchi,21.4,18.6,29.2,3.2,26.5,1.1
Tokushima,20.2,24.2,29.3,2.0,20.8,3.5
Kagawa,18.0,26.1,29.3,2.4,22.2,1.9
Ehime,18.9,21.5,30.7,3.8,22.6,2.4
Kochi,16.0,31.0,31.5,1.3,17.7,2.5
Fukuoka,17.1,20.4,34.6,3.0,24.1,0.8
Saga,14.0,21.9,39.2,3.8,20.4,0.7
Nagasaki,17.8,24.7,33.5,3.6,18.2,2.2
Kumamoto,10.9,18.8,44.7,4.5,19.2,1.7
Oita,7.9,22.0,43.9,4.0,21.3,0.9
Miyazaki,14.5,27.1,36.9,1.3,18.5,1.9
Kagoshima,18.1,25.5,33.1,2.1,19.6,1.6
Okinawa,9.8,19.4,49.6,3.6,15.9,1.8
Hokkaido Region,12.6,23.5,36.9,2.5,23.6,0.9
Tohoku Region,19.6,24.4,31.1,2.4,20.7,1.9
Kanto Region,21.8,20.8,28.1,1.6,26.5,1.2
Hokuriku-Shin'etsu Region,14.1,27.4,31.4,2.1,23.2,1.7
Chubu Region,15.3,20.6,35.0,2.6,25.1,1.4
Kinki Region,16.4,22.1,31.2,1.8,27.2,1.3
Chugoku Region,23.0,29.8,24.6,1.1,20.0,1.5
Shikoku Region,20.1,26.5,28.5,2.5,20.5,1.9
Kyushu Region,17.2,20.9,34.3,2.9,23.9,0.8
Okinawa Region,9.8,19.4,49.6,3.6,15.9,1.8